CONCAT,Model,AMT,BHP Material,BHP Description,BHP Location,CONCAT2,
793C5073 - GEAR PUMP-00 - (NONE),793C,5073 - GEAR PUMP-00 - (NONE),10882314,"PUMP GRP,GEAR,CAT 10R3427",,793C10882314,
793C3258 - DIFFERENTIAL-00 - (NONE),793C,3258 - DIFFERENTIAL-00 - (NONE),10068828,"GEAR GRP,DIFF,SX,CAT 2034000X",,793C10068828,
793C3101 - TORQUE CONVERTER-00 - (NONE),793C,3101 - TORQUE CONVERTER-00 - (NONE),11071417,"CONVERTER,TORQUE,SX,HASTDEER 1248506FPR",,793C11071417,
"793C4008 - FINAL DRIVE, BRAKE & WHEEL-RR - RIGHT REAR",793C,"4008 - FINAL DRIVE, BRAKE & WHEEL-RR - RIGHT REAR",10889918,"DRIVE,FINAL,SX,HASTDEER 3345492X",Rear RH,793C10889918Rear RH,
793C1405 - ALTERNATOR-00 - (NONE),793C,1405 - ALTERNATOR-00 - (NONE),10880525,"ALTERNATOR GRP,REMAN,CAT 10R8755",,793C10880525,
793D1353 - RADIATOR-00 - (NONE),793D,1353 - RADIATOR-00 - (NONE),10707702,"MODULE,RDTR GRP,793D,CAT 1936287MOD",,793D10707702,
793D1361 - WATER PUMP-00 - (NONE),793D,1361 - WATER PUMP-00 - (NONE),10697016,"PUMP GRP,WATER,REMAN,CAT 20R0505",,793D10697016,
793D1052 - TURBOCHARGER-00 - (NONE),793D,1052 - TURBOCHARGER-00 - (NONE),10759856,"TURBOCHARGER GRP,REMAN,CAT 20R7915SS",,793D10759856,
793D1256 - FUEL TRANSFER PUMP-00 - (NONE),793D,1256 - FUEL TRANSFER PUMP-00 - (NONE),10883497,"PUMP GRP,FUEL TRANSFER,REMAN,CAT 10R9838",,793D10883497,
793D1290 - UNIT INJECTOR-00 - (NONE),793D,1290 - UNIT INJECTOR-00 - (NONE),10883604,"INJECTOR GRP,FUEL,REMAN,CAT 20R0850",,793D10883604,
793D1803 - AIR COMPRESSOR-00 - (NONE),793D,1803 - AIR COMPRESSOR-00 - (NONE),10970416,"COMPRESSOR,REMAN,CAT 0R9626",,793D10970416,
793F1290 - UNIT INJECTOR-00 - (NONE),793F,1290 - UNIT INJECTOR-00 - (NONE),10483961,"INJECTOR,FUEL,CAT 4439454",,793F10483961,
793F1273 - FUEL TANK-00 - (NONE),793F,1273 - FUEL TANK-00 - (NONE),10707742,"MODULE,TANK,FUEL,793F,CAT 3801454MOD",,793F10707742,
"793F4008 - FINAL DRIVE, BRAKE & WHEEL-RR - RIGHT REAR",793F,"4008 - FINAL DRIVE, BRAKE & WHEEL-RR - RIGHT REAR",10707739,"MODULE,WHEEL GRP,BRK,793F,CAT 3345493MOD",Rear RH,793F10707739Rear RH,
793F1290 - UNIT INJECTOR-00 - (NONE),793F,1290 - UNIT INJECTOR-00 - (NONE),10883567,"INJECTOR GRP,FUEL,REMAN,CAT 20R5566",,793F10883567,
793F,793F,,11373871,"CTRL GRP,ELECTRONIC,CAT 10R6102",,793F11373871,
793F3101 - TORQUE CONVERTER-00 - (NONE),793F,3101 - TORQUE CONVERTER-00 - (NONE),10707725,"MODULE,CONVR GRP,793F,CAT 2792521MOD",,793F10707725,
793F5058 - PISTON MOTOR-00 - (NONE),793F,5058 - PISTON MOTOR-00 - (NONE),10883557,"MOTOR,BRK,COOLING,REMAN,CAT 10R5463",,793F10883557,
793F4303 - STEERING CYLINDER-LT - LEFT,793F,4303 - STEERING CYLINDER-LT - LEFT,11264369,"CYLINDER,SX,STEERING,LH,HASTDEER 6239954",Left Hand,793F11264369Left Hand,
793F4303 - STEERING CYLINDER-RI - RIGHT,793F,4303 - STEERING CYLINDER-RI - RIGHT,11265007,"CYLINDER,SX,STEERING,RH,WESTRAC 6239953X",,793F11265007,
793F5058 - PISTON MOTOR-00 - (NONE),793F,5058 - PISTON MOTOR-00 - (NONE),10454446,"MOTOR GRP,CAT 2407790",,793F10454446,
793F1361 - WATER PUMP-00 - (NONE),793F,1361 - WATER PUMP-00 - (NONE),10484139,"PUMP GRP,WATER,REMAN,CAT 10R9042",,793F10484139,
"793F4008 - FINAL DRIVE, BRAKE & WHEEL-LR - LEFT REAR",793F,"4008 - FINAL DRIVE, BRAKE & WHEEL-LR - LEFT REAR",10707739,"MODULE,WHEEL GRP,BRK,793F,CAT 3345493MOD",Rear LH,793F10707739Rear LH,
793F1923 - ATMOSPHERIC PRESSURE SENSOR-00 - (NONE),793F,1923 - ATMOSPHERIC PRESSURE SENSOR-00 - (NONE),10879984,"CONTROL ASSY,CAT 5676426SS",,793F10879984,
793F1319 - PRELUBRICATION PUMP-00 - (NONE),793F,1319 - PRELUBRICATION PUMP-00 - (NONE),10963012,"MOTOR GRP,CAT 20R8989",,793F10963012,
793F7610 - PROGRAMMABLE CONTROL-00 - (NONE),793F,7610 - PROGRAMMABLE CONTROL-00 - (NONE),10483929,"CTRL GRP,ELEC,CAT 6072611",,793F10483929,
793F1356 - FAN-00 - (NONE),793F,1356 - FAN-00 - (NONE),10483946,"SPIDER ASSEMBLY,13 BLADES,CAT 3172744",,793F10483946,
793F3108 - PUMP DRIVE GRP-00 - (NONE),793F,3108 - PUMP DRIVE GRP-00 - (NONE),10483950,"PUMP,CONVR,CAT 3194166",,793F10483950,
793F1386 - HYDRAULIC FAN MOTOR-00 - (NONE),793F,1386 - HYDRAULIC FAN MOTOR-00 - (NONE),10883566,"MOTOR GRP,HYD,REMAN,CAT 10R5466",,793F10883566,
793F,793F,,10492504,"TANK,HYD,CAT 2885702",,793F10492504,
793F,793F,,10487921,"RAIL,FUEL,LH,CAT,5060093",,793F10487921,
793F1353 - RADIATOR-00 - (NONE),793F,1353 - RADIATOR-00 - (NONE),11095570,"MODULE,SX,RDTR,WESTRAC 3377882F",,793F11095570,
793F4303 - STEERING CYLINDER-LT - LEFT,793F,4303 - STEERING CYLINDER-LT - LEFT,11402284,"CYLINDER GRP,CAT 6239954",,793F11402284,
793F5073 - GEAR PUMP-00 - (NONE),793F,5073 - GEAR PUMP-00 - (NONE),10454378,"PUMP,BRK COOLING,CAT,5600886",,793F10454378,
793F5070 - PISTON PUMP-00 - (NONE),793F,5070 - PISTON PUMP-00 - (NONE),10681203,"PUMP GRP,REMAN,CAT 20R0936",,793F10681203,
793F3030 - TRANSMISSION-00 - (NONE),793F,3030 - TRANSMISSION-00 - (NONE),10707724,"MODULE,TRANS,793F,CAT 2792520MOD",,793F10707724,
18,18,,10001052,"GASKET,RECTANGULAR SECTION,CAT 4K1557",,1810001052,
18,18,,10001054,"SEAL GROUP,CIRCLE DRIVE,CAT 5K5288",,1810001054,
793F4303 - STEERING CYLINDER-RI - RIGHT,793F,4303 - STEERING CYLINDER-RI - RIGHT,11265007,"CYLINDER,SX,STEERING,RH,WESTRAC 6239953X",Right Hand,793F11265007Right Hand,
793F3253 - DRIVESHAFT-00 - (NONE),793F,3253 - DRIVESHAFT-00 - (NONE),10707736,"MODULE,SHAFT,DRV,793F,CAT 3032504MOD",,793F10707736,
793F4060 - FINAL DRIVE OIL PUMP-00 - (NONE),793F,4060 - FINAL DRIVE OIL PUMP-00 - (NONE),10621989,"MOTOR GRP,HYD,REMAN,CAT 10R5465",,793F10621989,
793F1353 - RADIATOR-00 - (NONE),793F,1353 - RADIATOR-00 - (NONE),10707740,"MODULE,RDTR GRP,793F,CAT 3358380MOD",,793F10707740,
793F4305 - STEERING LINKAGE-00 - (NONE),793F,4305 - STEERING LINKAGE-00 - (NONE),10720702,"MODULE,LINKAGE,STEERING,CAT 2450905",,793F10720702,
793F1256 - FUEL TRANSFER PUMP-00 - (NONE),793F,1256 - FUEL TRANSFER PUMP-00 - (NONE),10883568,"PUMP GRP,FUEL,REMAN,CAT,20R6600",,793F10883568,
793F3101 - TORQUE CONVERTER-00 - (NONE),793F,3101 - TORQUE CONVERTER-00 - (NONE),10889968,"TORQUE CONVERTER,HASTDEER 2792521X",,793F10889968,
793F5083 - HYDRAULIC HOIST PUMP-00 - (NONE),793F,5083 - HYDRAULIC HOIST PUMP-00 - (NONE),11113331,"PUMP GRP,GEAR,CAT 20R6508",,793F11113331,
793F,793F,,11113389,"PUMP GRP,CAT 20R8004",Rear,793F11113389Rear,
793F1000 - ENGINE-00 - (NONE),793F,1000 - ENGINE-00 - (NONE),11409256,"ENGINE,SX,LMR,WESTRAC 5632134X",,793F11409256,
793F3258 - DIFFERENTIAL-00 - (NONE),793F,3258 - DIFFERENTIAL-00 - (NONE),11007438,"GEAR GRP,CAT 4667422X",,793F11007438,
