CONCAT,Model,AMT,BHP Material,BHP Description,BHP Location,CONCAT2,
793F4303 - STEERING CYLINDER-LT - LEFT,793F,4303 - STEERING CYLINDER-LT - LEFT,11264369,"CYLINDER,SX,STEERING,LH,HASTDEER 6239954",,793F11264369,
793F1351 - RADIATOR & OIL COOLER-00 - (NONE),793F,1351 - RADIATOR & OIL COOLER-00 - (NONE),11301209,"MODULE,COOLER,TRANS,CAT 4305381MOD",,793F11301209,
793F7347 - CAMERA MONITOR-00 - (NONE),793F,7347 - CAMERA MONITOR-00 - (NONE),11403880,"SENSOR,LIDAR,GEN 2,WESTRAC T4373700",,793F11403880,
793F1000 - ENGINE-00 - (NONE),793F,1000 - ENGINE-00 - (NONE),10369048,"MOTOR,CAT 5632134",,793F10369048,
793F4060 - FINAL DRIVE OIL PUMP-RE - REAR,793F,4060 - FINAL DRIVE OIL PUMP-RE - REAR,10621989,"MOTOR GRP,HYD,REMAN,CAT 10R5465",Rear,793F10621989Rear,
793F4303 - STEERING CYLINDER-RI - RIGHT,793F,4303 - STEERING CYLINDER-RI - RIGHT,10880093,"CYLINDER,STEERING,RH,REMAN,CAT 2712080X",Right Hand,793F10880093Right Hand,
793F4303 - STEERING CYLINDER-LT - LEFT,793F,4303 - STEERING CYLINDER-LT - LEFT,11402284,"CYLINDER GRP,CAT 6239954",Left Hand,793F11402284Left Hand,
793F4303 - STEERING CYLINDER-RI - RIGHT,793F,4303 - STEERING CYLINDER-RI - RIGHT,11402617,"CYLINDER GRP,CAT 6239953",Right Hand,793F11402617Right Hand,
18,18,,10001063,"NUT,LOCK,3/8IN UNC,CAT 2N2766",,1810001063,
793F1901 - ENGINE ELECTRONIC CONTROL MODULE-00 - (NONE),793F,1901 - ENGINE ELECTRONIC CONTROL MODULE-00 - (NONE),11196328,"CTRL GRP,CAT 20R8219",,793F11196328,
793F1000 - ENGINE-00 - (NONE),793F,1000 - ENGINE-00 - (NONE),11348366,"MOTOR,SX,CAT 20R8757",,793F11348366,
793F1000 - ENGINE-00 - (NONE),793F,1000 - ENGINE-00 - (NONE),11275715,"INSTALL KIT,SPEC 3,WESTRAC BHP793FENGINS",,793F11275715,
793F CMD,793F CMD,,11249016,"CONTROL ASSY,CAT 5759387",,793F CMD11249016,
793F CMD5058 - PISTON MOTOR-00 - (NONE),793F CMD,5058 - PISTON MOTOR-00 - (NONE),10454446,"MOTOR GRP,CAT 2407790",,793F CMD10454446,
793F CMD1273 - FUEL TANK-00 - (NONE),793F CMD,1273 - FUEL TANK-00 - (NONE),10707742,"MODULE,TANK,FUEL,793F,CAT 3801454MOD",,793F CMD10707742,
793F CMD1290 - UNIT INJECTOR-00 - (NONE),793F CMD,1290 - UNIT INJECTOR-00 - (NONE),10883567,"INJECTOR GRP,FUEL,REMAN,CAT 20R5566",,793F CMD10883567,
793F CMD5073 - GEAR PUMP-00 - (NONE),793F CMD,5073 - GEAR PUMP-00 - (NONE),10454378,"PUMP,BRK COOLING,CAT,5600886",,793F CMD10454378,
793F CMD4060 - FINAL DRIVE OIL PUMP-RE - REAR,793F CMD,4060 - FINAL DRIVE OIL PUMP-RE - REAR,10621989,"MOTOR GRP,HYD,REMAN,CAT 10R5465",Rear,793F CMD10621989Rear,
793F CMD4060 - FINAL DRIVE OIL PUMP-00 - (NONE),793F CMD,4060 - FINAL DRIVE OIL PUMP-00 - (NONE),10621989,"MOTOR GRP,HYD,REMAN,CAT 10R5465",,793F CMD10621989,
793F CMD,793F CMD,,11113389,"PUMP GRP,CAT 20R8004",,793F CMD11113389,
793F CMD4303 - STEERING CYLINDER-LT - LEFT,793F CMD,4303 - STEERING CYLINDER-LT - LEFT,11264369,"CYLINDER,SX,STEERING,LH,HASTDEER 6239954",Left Hand,793F CMD11264369Left Hand,
18,18,,10001065,"O-RING,SEAL,RECTANGULAR,CAT 1P3705",,1810001065,
793F CMD7610 - PROGRAMMABLE CONTROL- 00 - (NONE),793F CMD,7610 - PROGRAMMABLE CONTROL- 00 - (NONE),10483929,"CTRL GRP,ELEC,CAT 6072611",,793F CMD10483929,
793F CMD5070 - PISTON PUMP-00 - (NONE),793F CMD,5070 - PISTON PUMP-00 - (NONE),10681203,"PUMP GRP,REMAN,CAT 20R0936",,793F CMD10681203,
793F CMD7347 - CAMERA MONITOR-00 - (NONE),793F CMD,7347 - CAMERA MONITOR-00 - (NONE),11403880,"SENSOR,LIDAR,GEN 2,WESTRAC T4373700",,793F CMD11403880,
793F CMD1353 - RADIATOR-00 - (NONE),793F CMD,1353 - RADIATOR-00 - (NONE),11095570,"MODULE,SX,RDTR,WESTRAC 3377882F",,793F CMD11095570,
793F CMD4303 - STEERING CYLINDER-LT - LEFT,793F CMD,4303 - STEERING CYLINDER-LT - LEFT,11402284,"CYLINDER GRP,CAT 6239954",Left Hand,793F CMD11402284Left Hand,
793F CMD3258 - DIFFERENTIAL-00 - (NONE),793F CMD,3258 - DIFFERENTIAL-00 - (NONE),11007438,"GEAR GRP,CAT 4667422X",,793F CMD11007438,
793F CMD4305 - STEERING LINKAGE-00 - (NONE),793F CMD,4305 - STEERING LINKAGE-00 - (NONE),10720702,"MODULE,LINKAGE,STEERING,CAT 2450905",,793F CMD10720702,
793F CMD1256 - FUEL TRANSFER PUMP-00 - (NONE),793F CMD,1256 - FUEL TRANSFER PUMP-00 - (NONE),10883568,"PUMP GRP,FUEL,REMAN,CAT,20R6600",,793F CMD10883568,
793F CMD1319 - PRELUBRICATION PUMP-00 - (NONE),793F CMD,1319 - PRELUBRICATION PUMP-00 - (NONE),10963012,"MOTOR GRP,CAT 20R8989",,793F CMD10963012,
793F CMD1000 - ENGINE-00 - (NONE),793F CMD,1000 - ENGINE-00 - (NONE),11409256,"ENGINE,SX,LMR,WESTRAC 5632134X",,793F CMD11409256,
"793F CMD4008 - FINAL DRIVE, BRAKE & WHEEL-LR - LEFT REAR",793F CMD,"4008 - FINAL DRIVE, BRAKE & WHEEL-LR - LEFT REAR",10707739,"MODULE,WHEEL GRP,BRK,793F,CAT 3345493MOD",Rear LH,793F CMD10707739Rear LH,
793F CMD3101 - TORQUE CONVERTER-00 - (NONE),793F CMD,3101 - TORQUE CONVERTER-00 - (NONE),10707725,"MODULE,CONVR GRP,793F,CAT 2792521MOD",,793F CMD10707725,
793F CMD1000 - ENGINE-00 - (NONE),793F CMD,1000 - ENGINE-00 - (NONE),11034966,"ENGINE,SX,C175,HASTDEER 3659319X",,793F CMD11034966,
793F CMD1000 - ENGINE-00 - (NONE),793F CMD,1000 - ENGINE-00 - (NONE),11275715,"INSTALL KIT,SPEC 3,WESTRAC BHP793FENGINS",,793F CMD11275715,
"793F CMD4008 - FINAL DRIVE, BRAKE & WHEEL-RR - RIGHT REAR",793F CMD,"4008 - FINAL DRIVE, BRAKE & WHEEL-RR - RIGHT REAR",10707739,"MODULE,WHEEL GRP,BRK,793F,CAT 3345493MOD",Rear RH,793F CMD10707739Rear RH,
793F CMD4303 - STEERING CYLINDER-RI - RIGHT,793F CMD,4303 - STEERING CYLINDER-RI - RIGHT,11265007,"CYLINDER,SX,STEERING,RH,WESTRAC 6239953X",Right Hand,793F CMD11265007Right Hand,
793F CMD4303 - STEERING CYLINDER-RI - RIGHT,793F CMD,4303 - STEERING CYLINDER-RI - RIGHT,11402617,"CYLINDER GRP,CAT 6239953",Right Hand,793F CMD11402617Right Hand,
793F CMD3253 - DRIVESHAFT-00 - (NONE),793F CMD,3253 - DRIVESHAFT-00 - (NONE),10707736,"MODULE,SHAFT,DRV,793F,CAT 3032504MOD",,793F CMD10707736,
793F CMD5058 - PISTON MOTOR-00 - (NONE),793F CMD,5058 - PISTON MOTOR-00 - (NONE),10883557,"MOTOR,BRK,COOLING,REMAN,CAT 10R5463",,793F CMD10883557,
793F CMD5083 - HYDRAULIC HOIST PUMP-00 - (NONE),793F CMD,5083 - HYDRAULIC HOIST PUMP-00 - (NONE),11113331,"PUMP GRP,GEAR,CAT 20R6508",,793F CMD11113331,
793F CMD1351 - RADIATOR & OIL COOLER-00 - (NONE),793F CMD,1351 - RADIATOR & OIL COOLER-00 - (NONE),11301209,"MODULE,COOLER,TRANS,CAT 4305381MOD",,793F CMD11301209,
793F CMD3030 - TRANSMISSION-00 - (NONE),793F CMD,3030 - TRANSMISSION-00 - (NONE),10707724,"MODULE,TRANS,793F,CAT 2792520MOD",,793F CMD10707724,
854K6060 - BLADE-00 - (NONE),854K,6060 - BLADE-00 - (NONE),10869323,"MODULE,BLADE ASSY,854K,CAT 1588739MOD",,854K10869323,
854K6061 - PUSH ARMS-00 - (NONE),854K,6061 - PUSH ARMS-00 - (NONE),10869312,"MODULE,ARM ASSY,PUSH,854K,CAT 3465444MOD",,854K10869312,
854K3013 - AXLE ARRANGEMENT-RE - REAR,854K,3013 - AXLE ARRANGEMENT-RE - REAR,10881195,"MODULE,AXLE ASSY,REAR,CAT 3732558MOD",,854K10881195,
854K1361 - WATER PUMP-00 - (NONE),854K,1361 - WATER PUMP-00 - (NONE),10833309,"PUMP,WATER,REMAN,CAT 20R1859",,854K10833309,
854K1405 - ALTERNATOR-00 - (NONE),854K,1405 - ALTERNATOR-00 - (NONE),10883555,"ALTERNATOR,CHRG,REMAN,CAT 20R0053",,854K10883555,
854K1453 - ELECTRIC STARTING MOTOR-00 - (NONE),854K,1453 - ELECTRIC STARTING MOTOR-00 - (NONE),10883573,"MOTOR GRP,ELEC,REMAN,CAT 20R1312",,854K10883573,
854K1052 - TURBOCHARGER-00 - (NONE),854K,1052 - TURBOCHARGER-00 - (NONE),11104190,"TURBOCHARGER,REMAN,CAT 20R3687",,854K11104190,
854K1052 - TURBOCHARGER-00 - (NONE),854K,1052 - TURBOCHARGER-00 - (NONE),11104435,"TURBOCHARGER,REMAN,CAT 20R3692",,854K11104435,
854K3030 - TRANSMISSION-00 - (NONE),854K,3030 - TRANSMISSION-00 - (NONE),10866907,"MODULE,TRANS,854K,992K,CAT 3466114MOD",,854K10866907,
854K1386 - HYDRAULIC FAN MOTOR-00 - (NONE),854K,1386 - HYDRAULIC FAN MOTOR-00 - (NONE),10070668,"MOTOR,GP,CAT 0R9340",,854K10070668,
854K3251 - UNIVERSAL JOINT-RE - REAR,854K,3251 - UNIVERSAL JOINT-RE - REAR,10288454,"JOINT GRP,REMAN,CAT 10R5174",Rear,854K10288454Rear,
854K3013 - AXLE ARRANGEMENT-RE - REAR,854K,3013 - AXLE ARRANGEMENT-RE - REAR,10881195,"MODULE,AXLE ASSY,REAR,CAT 3732558MOD",Rear,854K10881195Rear,
854K1000 - ENGINE-00 - (NONE),854K,1000 - ENGINE-00 - (NONE),11008553,"ENGINE ARRANGEMENT,CAT 3331169X",,854K11008553,
854K5073 - GEAR PUMP-00 - (NONE),854K,5073 - GEAR PUMP-00 - (NONE),11008572,"PUMP,IMPLEMENT,CAT 2279383X",,854K11008572,
854K3253 - DRIVESHAFT-CE - CENTER,854K,3253 - DRIVESHAFT-CE - CENTER,10316832,"JOINT GROUP,CAT 1681916",Center,854K10316832Center,
854K4306 - STEERING PUMP-00 - (NONE),854K,4306 - STEERING PUMP-00 - (NONE),10628118,"PUMP GRP,HYD,REMAN,CAT 10R3808",,854K10628118,
854K3258 - DIFFERENTIAL-FR - FRONT,854K,3258 - DIFFERENTIAL-FR - FRONT,10866908,"MODULE,DIFF,854K,992K,CAT 3168335MOD",Front,854K10866908Front,
854K5084 - IMPLEMENT PUMP-00 - (NONE),854K,5084 - IMPLEMENT PUMP-00 - (NONE),10883574,"PUMP GRP,GEAR,REMAN,CAT 10R7974",,854K10883574,
854K3066 - TRANSMISSION OIL PUMP-00 - (NONE),854K,3066 - TRANSMISSION OIL PUMP-00 - (NONE),11113397,"PUMP GRP,GEAR,CAT 20R6497",,854K11113397,
854K4268 - BRAKE PUMP-00 - (NONE),854K,4268 - BRAKE PUMP-00 - (NONE),11113433,"PUMP GRP,PISTON,CAT 20R7580",,854K11113433,
854K1000 - ENGINE-00 - (NONE),854K,1000 - ENGINE-00 - (NONE),11280862,"ENGINE,SX,WESTRAC 3402665X",,854K11280862,
854K3253 - DRIVE SHAFT-FR - FRONT,854K,3253 - DRIVE SHAFT-FR - FRONT,10709877,"UNIVERSAL JOINT GRP,REMAN,CAT 10R5175",Front,854K10709877Front,
854K1000 - ENGINE-00 - (NONE),854K,1000 - ENGINE-00 - (NONE),11098198,"MOTOR,MTR,MONTAJE,CAT 6318694",,854K11098198,
854K1290 - UNIT INJECTOR-00 - (NONE),854K,1290 - UNIT INJECTOR-00 - (NONE),10883591,"INJECTOR GRP,FUEL,REMAN,CAT 20R2284",,854K10883591,
854K1256 - FUEL TRANSFER PUMP-00 - (NONE),854K,1256 - FUEL TRANSFER PUMP-00 - (NONE),10506210,"PUMP GRP,REMAN,CAT 20R0967",,854K10506210,
854K3013 - AXLE ARRANGEMENT-FR - FRONT,854K,3013 - AXLE ARRANGEMENT-FR - FRONT,10881194,"MODULE,AXLE ASSY,FRONT,CAT 3732557MOD",Front,854K10881194Front,
988H1290 - UNIT INJECTOR-00 - (NONE),988H,1290 - UNIT INJECTOR-00 - (NONE),10282820,"INJECTOR ASSY,FUEL,REMAN,CAT 10R3265",,988H10282820,
988H3108 - PUMP DRIVE GRP-00 - (NONE),988H,3108 - PUMP DRIVE GRP-00 - (NONE),10515900,"PUMP GRP,REMAN,CAT 20R1525",,988H10515900,
988H1361 - WATER PUMP-00 - (NONE),988H,1361 - WATER PUMP-00 - (NONE),10522341,"PUMP GRP,WATER,REMAN,CAT 10R0484",,988H10522341,
988H1052 - TURBOCHARGER-00 - (NONE),988H,1052 - TURBOCHARGER-00 - (NONE),10696995,"TURBOCHARGER GRP,BASIC,REMAN,CAT 10R3205",,988H10696995,
988H1386 - HYDRAULIC FAN MOTOR-00 - (NONE),988H,1386 - HYDRAULIC FAN MOTOR-00 - (NONE),10522339,"MOTOR GRP,REMAN,CAT 10R3228",,988H10522339,
988H5084 - IMPLEMENT PUMP-00 - (NONE),988H,5084 - IMPLEMENT PUMP-00 - (NONE),10681359,"PUMP GRP,HYD,REMAN,CAT 10R3589",,988H10681359,
988H3101 - TORQUE CONVERTER-00 - (NONE),988H,3101 - TORQUE CONVERTER-00 - (NONE),10681364,"TORQUE CONVERTER,REMAN,CAT 10R0897",,988H10681364,
988H3030 - TRANSMISSION-00 - (NONE),988H,3030 - TRANSMISSION-00 - (NONE),10731710,"TRANSMISSION,REMAN,CAT 10R7447",,988H10731710,
988H3066 - TRANSMISSION OIL PUMP-00 - (NONE),988H,3066 - TRANSMISSION OIL PUMP-00 - (NONE),10883585,"PUMP,TRANS,REMAN,CAT 0R9867",,988H10883585,
988K3108 - PUMP DRIVE GRP-00 - (NONE),988K,3108 - PUMP DRIVE GRP-00 - (NONE),10515900,"PUMP GRP,REMAN,CAT 20R1525",,988K10515900,
988K1290 - UNIT INJECTOR-00 - (NONE),988K,1290 - UNIT INJECTOR-00 - (NONE),11004666,"INJECTOR,FUEL,REMAN,CAT 10R7230",,988K11004666,
988K1361 - WATER PUMP-00 - (NONE),988K,1361 - WATER PUMP-00 - (NONE),11051042,"PUMP,CAT 20R2814",,988K11051042,
988K1052 - TURBOCHARGER-00 - (NONE),988K,1052 - TURBOCHARGER-00 - (NONE),11155940,"TURBOCHARGER,GP,REMAN,WESTRAC 20R3769",,988K11155940,
988K5070 - PISTON PUMP-00 - (NONE),988K,5070 - PISTON PUMP-00 - (NONE),11103773,"PUMP,GP,CAT 20R6312",,988K11103773,
988K4306 - STEERING PUMP-00 - (NONE),988K,4306 - STEERING PUMP-00 - (NONE),11155955,"PUMP,GP,STEER,WESTRAC 20R6980",,988K11155955,
988K3108 - PUMP DRIVE GRP-00 - (NONE),988K,3108 - PUMP DRIVE GRP-00 - (NONE),11155949,"PUMP,WESTRAC 20R7448",,988K11155949,
988K3251 - UNIVERSAL JOINT-FR - FRONT,988K,3251 - UNIVERSAL JOINT-FR - FRONT,10715165,"JOINT GRP,REMAN,CAT 10R5176",Front,988K10715165Front,
988K3251 - UNIVERSAL JOINT-RE - REAR,988K,3251 - UNIVERSAL JOINT-RE - REAR,10715167,"JOINT GRP,REMAN,CAT 10R5177",Rear,988K10715167Rear,
988K3101 - TORQUE CONVERTER-00 - (NONE),988K,3101 - TORQUE CONVERTER-00 - (NONE),11051075,"CONVERTER,CAT 3570697",,988K11051075,
988K3030 - TRANSMISSION-00 - (NONE),988K,3030 - TRANSMISSION-00 - (NONE),11323775,"TRANSMISSION,CAT 20R6897",,988K11323775,
988K1000 - ENGINE-00 - (NONE),988K,1000 - ENGINE-00 - (NONE),11350511,"ENGINE ARRANGEMENT,COMPLETE,CAT 5385153",,988K11350511,
988K3258 - DIFFERENTIAL-FR - FRONT,988K,3258 - DIFFERENTIAL-FR - FRONT,10460681,"DIFFERENTIAL,FRONT-REAR,CAT 1378851",Front,988K10460681Front,
988K1052 - TURBOCHARGER-00 - (NONE),988K,1052 - TURBOCHARGER-00 - (NONE),11051041,"TURBO,CAT 3798475",,988K11051041,
988K3258 - DIFFERENTIAL-RE - REAR,988K,3258 - DIFFERENTIAL-RE - REAR,10460681,"DIFFERENTIAL,FRONT-REAR,CAT 1378851",Rear,988K10460681Rear,
988K1405 - ALTERNATOR-00 - (NONE),988K,1405 - ALTERNATOR-00 - (NONE),10883555,"ALTERNATOR,CHRG,REMAN,CAT 20R0053",,988K10883555,
988K1453 - ELECTRIC STARTING MOTOR-00 - (NONE),988K,1453 - ELECTRIC STARTING MOTOR-00 - (NONE),10883573,"MOTOR GRP,ELEC,REMAN,CAT 20R1312",,988K10883573,
9921256 - FUEL TRANSFER PUMP-00 - (NONE),992,1256 - FUEL TRANSFER PUMP-00 - (NONE),10506210,"PUMP GRP,REMAN,CAT 20R0967",,99210506210,
9921361 - WATER PUMP-00 - (NONE),992,1361 - WATER PUMP-00 - (NONE),10833309,"PUMP,WATER,REMAN,CAT 20R1859",,99210833309,
9921405 - ALTERNATOR-00 - (NONE),992,1405 - ALTERNATOR-00 - (NONE),10883555,"ALTERNATOR,CHRG,REMAN,CAT 20R0053",,99210883555,
9923253 - DRIVESHAFT-CE - CENTER,992,3253 - DRIVESHAFT-CE - CENTER,10316832,"JOINT GROUP,CAT 1681916",Center,99210316832Center,
9921453 - ELECTRIC STARTING MOTOR-00 - (NONE),992,1453 - ELECTRIC STARTING MOTOR-00 - (NONE),10883573,"MOTOR GRP,ELEC,REMAN,CAT 20R1312",,99210883573,
9921052 - TURBOCHARGER-00 - (NONE),992,1052 - TURBOCHARGER-00 - (NONE),11104190,"TURBOCHARGER,REMAN,CAT 20R3687",,99211104190,
9921052 - TURBOCHARGER-00 - (NONE),992,1052 - TURBOCHARGER-00 - (NONE),11104435,"TURBOCHARGER,REMAN,CAT 20R3692",,99211104435,
992G1256 - FUEL TRANSFER PUMP-00 - (NONE),992G,1256 - FUEL TRANSFER PUMP-00 - (NONE),10883497,"PUMP GRP,FUEL TRANSFER,REMAN,CAT 10R9838",,992G10883497,
992G1361 - WATER PUMP-00 - (NONE),992G,1361 - WATER PUMP-00 - (NONE),10883500,"PUMP GRP,WATER,REMAN,CAT,20R8812",,992G10883500,
992G1052 - TURBOCHARGER-00 - (NONE),992G,1052 - TURBOCHARGER-00 - (NONE),10883502,"TURBO GRP,BASIC,REMAN,CAT 10R2844",,992G10883502,
992G1290 - UNIT INJECTOR-00 - (NONE),992G,1290 - UNIT INJECTOR-00 - (NONE),10883558,"INJECTOR GRP,FUEL,REMAN,CAT 20R0849",,992G10883558,
992G1405 - ALTERNATOR-00 - (NONE),992G,1405 - ALTERNATOR-00 - (NONE),10883559,"ALTERNATOR GRP,REMAN,CAT 10R8755",,992G10883559,
992G1361 - WATER PUMP-00 - (NONE),992G,1361 - WATER PUMP-00 - (NONE),10883576,"PUMP GRP,WATER,REMAN,CAT 10R1668",,992G10883576,
992K3253 - DRIVESHAFT-CE - CENTER,992K,3253 - DRIVESHAFT-CE - CENTER,10316832,"JOINT GROUP,CAT 1681916",Center,992K10316832Center,
992K3013 - AXLE ARRANGEMENT-RE - REAR,992K,3013 - AXLE ARRANGEMENT-RE - REAR,10881195,"MODULE,AXLE ASSY,REAR,CAT 3732558MOD",Rear,992K10881195Rear,
992K1000 - ENGINE-00 - (NONE),992K,1000 - ENGINE-00 - (NONE),11008553,"ENGINE ARRANGEMENT,CAT 3331169X",,992K11008553,
992K3101 - TORQUE CONVERTER-00 - (NONE),992K,3101 - TORQUE CONVERTER-00 - (NONE),11139194,"TORQUE CONVERTER,CAT-REMF 20R3119",,992K11139194,
992K1361 - WATER PUMP-00 - (NONE),992K,1361 - WATER PUMP-00 - (NONE),10833309,"PUMP,WATER,REMAN,CAT 20R1859",,992K10833309,
992K5070 - PISTON PUMP-RI - RIGHT,992K,5070 - PISTON PUMP-RI - RIGHT,11071032,"PUMP,CAT 20R6309",Right Hand,992K11071032Right Hand,
992K3108 - PUMP DRIVE GRP-RI - RIGHT,992K,3108 - PUMP DRIVE GRP-RI - RIGHT,11108769,"PUMP GRP,WESTRAC 3153145X",Right Hand,992K11108769Right Hand,
992K1405 - ALTERNATOR-00 - (NONE),992K,1405 - ALTERNATOR-00 - (NONE),10883555,"ALTERNATOR,CHRG,REMAN,CAT 20R0053",,992K10883555,
992K1453 - ELECTRIC STARTING MOTOR-00 - (NONE),992K,1453 - ELECTRIC STARTING MOTOR-00 - (NONE),10883573,"MOTOR GRP,ELEC,REMAN,CAT 20R1312",,992K10883573,
992K1290 - UNIT INJECTOR-00 - (NONE),992K,1290 - UNIT INJECTOR-00 - (NONE),10883591,"INJECTOR GRP,FUEL,REMAN,CAT 20R2284",,992K10883591,
992K1052 - TURBOCHARGER-00 - (NONE),992K,1052 - TURBOCHARGER-00 - (NONE),11104190,"TURBOCHARGER,REMAN,CAT 20R3687",,992K11104190,
992K1052 - TURBOCHARGER-00 - (NONE),992K,1052 - TURBOCHARGER-00 - (NONE),11104435,"TURBOCHARGER,REMAN,CAT 20R3692",,992K11104435,
992K3030 - TRANSMISSION-00 - (NONE),992K,3030 - TRANSMISSION-00 - (NONE),10866907,"MODULE,TRANS,854K,992K,CAT 3466114MOD",,992K10866907,
992K3066 - TRANSMISSION OIL PUMP-00 - (NONE),992K,3066 - TRANSMISSION OIL PUMP-00 - (NONE),11113397,"PUMP GRP,GEAR,CAT 20R6497",,992K11113397,
992K3253 - DRIVE SHAFT-FR - FRONT,992K,3253 - DRIVE SHAFT-FR - FRONT,10709877,"UNIVERSAL JOINT GRP,REMAN,CAT 10R5175",Front,992K10709877Front,
992K3013 - AXLE ARRANGEMENT-FR - FRONT,992K,3013 - AXLE ARRANGEMENT-FR - FRONT,10881194,"MODULE,AXLE ASSY,FRONT,CAT 3732557MOD",Front,992K10881194Front,
994F4285 - AIR DRYER-00 - (NONE),994F,4285 - AIR DRYER-00 - (NONE),10680867,"CARTRIDGE,AIR DRIER,REMAN,CAT 20R0305",,994F10680867,
994F3279 - ENGINE OUTPUT DRIVE-00 - (NONE),994F,3279 - ENGINE OUTPUT DRIVE-00 - (NONE),10681657,"COUPLING ASSY,REMAN,CAT 0R9106",,994F10681657,
994F3108 - PUMP DRIVE-RE - REAR,994F,3108 - PUMP DRIVE-RE - REAR,10389478,"PUMP UNIT,HYD,CTRL,REAR,CAT 4161176",Rear,994F10389478Rear,
994F3066 - TRANSMISSION OIL PUMP-00 - (NONE),994F,3066 - TRANSMISSION OIL PUMP-00 - (NONE),10470442,"PUMP GRP,GEAR,CAT 2502353",,994F10470442,
994F5070 - PISTON PUMP-RI - RIGHT,994F,5070 - PISTON PUMP-RI - RIGHT,10326361,"PUMP,HYD,IMPLEMENT,CAT 1243761",Right Hand,994F10326361Right Hand,
994F5070 - PISTON PUMP-LT - LEFT,994F,5070 - PISTON PUMP-LT - LEFT,10326361,"PUMP,HYD,IMPLEMENT,CAT 1243761",Left Hand,994F10326361Left Hand,
994F5070 - PISTON PUMP-LT - LEFT,994F,5070 - PISTON PUMP-LT - LEFT,10470829,"PUMP,GRP,PISTON,CAT 2635064",Left Hand,994F10470829Left Hand,
994F5070 - PISTON PUMP-RI - RIGHT,994F,5070 - PISTON PUMP-RI - RIGHT,10470830,"PUMP,GRP,PISTON,CAT 2635065",Right Hand,994F10470830Right Hand,
994F3108 - PUMP DRIVE GRP-FR - FRONT,994F,3108 - PUMP DRIVE GRP-FR - FRONT,10486669,"CONTROL,HYD,PUMP,CAT 3085081",Front,994F10486669Front,
994F3030 - TRANSMISSION-00 - (NONE),994F,3030 - TRANSMISSION-00 - (NONE),10665994,"TRANSMISSION,MECH,CAT 1714616X",,994F10665994,
994F3101 - TORQUE CONVERTER-00 - (NONE),994F,3101 - TORQUE CONVERTER-00 - (NONE),11082231,"TORQUE,CONVR,SX",,994F11082231,
994H3278 - DRIVE AXLE-FR - FRONT,994H,3278 - DRIVE AXLE-FR - FRONT,10384567,"TRUNNION,CAT 8R5720",Rear Front,994H10384567Rear Front,
994H3278 - DRIVE AXLE-FR - FRONT,994H,3278 - DRIVE AXLE-FR - FRONT,10395985,"SUPPORT,CAT 1654014",Rear Front,994H10395985Rear Front,
994H3278 - DRIVE AXLE-FR - FRONT,994H,3278 - DRIVE AXLE-FR - FRONT,10395986,"SUPPORT,TRUNNION,CAT 1654015",Rear Front,994H10395986Rear Front,
994H5070 - PISTON PUMP-CE - CENTER,994H,5070 - PISTON PUMP-CE - CENTER,10513371,"PUMP GRP,PISTON,CTR,CAT 3849439",Left Hand,994H10513371Left Hand,
994H5070 - PISTON PUMP-00 - (NONE),994H,5070 - PISTON PUMP-00 - (NONE),10513371,"PUMP GRP,PISTON,CTR,CAT 3849439",,994H10513371,
994H3030 - TRANSMISSION-00 - (NONE),994H,3030 - TRANSMISSION-00 - (NONE),11007441,"TRANSMISSION,CAT 3660162X",,994H11007441,
994H4306 - STEERING PUMP-RI - RIGHT,994H,4306 - STEERING PUMP-RI - RIGHT,11080145,"PUMP GRP,HYD,CAT 10R7398",Right Hand,994H11080145Right Hand,
994H4306 - STEERING PUMP-LT - LEFT,994H,4306 - STEERING PUMP-LT - LEFT,11169292,"PUMP GRP,HYD,GP,CAT 10R7399",Left Hand,994H11169292Left Hand,
994H3278 - DRIVE AXLE-RE - REAR,994H,3278 - DRIVE AXLE-RE - REAR,10384567,"TRUNNION,CAT 8R5720",Front Rear,994H10384567Front Rear,
994H3278 - DRIVE AXLE-RE - REAR,994H,3278 - DRIVE AXLE-RE - REAR,10395985,"SUPPORT,CAT 1654014",Front Rear,994H10395985Front Rear,
994H3278 - DRIVE AXLE-RE - REAR,994H,3278 - DRIVE AXLE-RE - REAR,10395986,"SUPPORT,TRUNNION,CAT 1654015",Front Rear,994H10395986Front Rear,
994H3066 - TRANSMISSION OIL PUMP-00 - (NONE),994H,3066 - TRANSMISSION OIL PUMP-00 - (NONE),10470442,"PUMP GRP,GEAR,CAT 2502353",,994H10470442,
994H5102 - LIFT CYLINDER-LT - LEFT,994H,5102 - LIFT CYLINDER-LT - LEFT,10508308,"CYLINDER,LIFT,EXTD,CAT 5644353",Left Hand,994H10508308Left Hand,
994H3253 - DRIVESHAFT-00 - (NONE),994H,3253 - DRIVESHAFT-00 - (NONE),10665961,"DRIVE SHAFT,REMAN,CAT 10R5179",,994H10665961,
994H4268 - BRAKE PUMP-00 - (NONE),994H,4268 - BRAKE PUMP-00 - (NONE),10665976,"PUMP,HYD,BRK COOLING,CAT 0R7930",,994H10665976,
994H5073 - GEAR PUMP-00 - (NONE),994H,5073 - GEAR PUMP-00 - (NONE),11198798,"PUMP GRP,PILOT,HYD,CAT 20R7430",,994H11198798,
